benchmark,ablation,subset_name,subset_n,changed,full_wins,ablation_wins,full_net_gain,changed_subset_full_acc,changed_subset_ablation_acc,changed_subset_delta
textvqa,frequency_only,low_margin_le_1_8,138,42,12,12,0,0.452381,0.452381,0.000000
textvqa,frequency_only,low_margin_le_2_8,237,44,12,13,-1,0.431818,0.454545,0.022727
textvqa,frequency_only,format_affected,57,2,0,1,-1,0.000000,0.500000,0.500000
textvqa,frequency_only,length_risk_affected,34,5,1,1,0,0.400000,0.400000,0.000000
textvqa,no_format,low_margin_le_1_8,138,0,0,0,0,NA,NA,NA
textvqa,no_format,low_margin_le_2_8,237,2,0,1,-1,0.000000,0.500000,0.500000
textvqa,no_format,format_affected,57,2,0,1,-1,0.000000,0.500000,0.500000
textvqa,no_format,length_risk_affected,34,0,0,0,0,NA,NA,NA
textvqa,no_base_consistency,low_margin_le_1_8,138,26,6,6,0,0.384615,0.384615,0.000000
textvqa,no_base_consistency,low_margin_le_2_8,237,29,6,7,-1,0.344828,0.379310,0.034483
textvqa,no_base_consistency,format_affected,57,5,0,1,-1,0.200000,0.400000,0.200000
textvqa,no_base_consistency,length_risk_affected,34,3,1,0,1,0.333333,0.000000,-0.333333
textvqa,no_length_risk,low_margin_le_1_8,138,0,0,0,0,NA,NA,NA
textvqa,no_length_risk,low_margin_le_2_8,237,0,0,0,0,NA,NA,NA
textvqa,no_length_risk,format_affected,57,0,0,0,0,NA,NA,NA
textvqa,no_length_risk,length_risk_affected,34,0,0,0,0,NA,NA,NA
textvqa,majority_vote,low_margin_le_1_8,138,0,0,0,0,NA,NA,NA
textvqa,majority_vote,low_margin_le_2_8,237,0,0,0,0,NA,NA,NA
textvqa,majority_vote,format_affected,57,0,0,0,0,NA,NA,NA
textvqa,majority_vote,length_risk_affected,34,0,0,0,0,NA,NA,NA
ocrvqa,frequency_only,low_margin_le_1_8,87,38,14,3,11,0.368421,0.078947,-0.289474
ocrvqa,frequency_only,low_margin_le_2_8,172,38,14,3,11,0.368421,0.078947,-0.289474
ocrvqa,frequency_only,format_affected,31,1,0,0,0,0.000000,0.000000,0.000000
ocrvqa,frequency_only,length_risk_affected,25,3,0,0,0,0.000000,0.000000,0.000000
ocrvqa,no_format,low_margin_le_1_8,87,1,0,0,0,0.000000,0.000000,0.000000
ocrvqa,no_format,low_margin_le_2_8,172,1,0,0,0,0.000000,0.000000,0.000000
ocrvqa,no_format,format_affected,31,1,0,0,0,0.000000,0.000000,0.000000
ocrvqa,no_format,length_risk_affected,25,0,0,0,0,NA,NA,NA
ocrvqa,no_base_consistency,low_margin_le_1_8,87,16,2,0,2,0.125000,0.000000,-0.125000
ocrvqa,no_base_consistency,low_margin_le_2_8,172,16,2,0,2,0.125000,0.000000,-0.125000
ocrvqa,no_base_consistency,format_affected,31,1,0,0,0,0.000000,0.000000,0.000000
ocrvqa,no_base_consistency,length_risk_affected,25,2,0,0,0,0.000000,0.000000,0.000000
ocrvqa,no_length_risk,low_margin_le_1_8,87,0,0,0,0,NA,NA,NA
ocrvqa,no_length_risk,low_margin_le_2_8,172,0,0,0,0,NA,NA,NA
ocrvqa,no_length_risk,format_affected,31,0,0,0,0,NA,NA,NA
ocrvqa,no_length_risk,length_risk_affected,25,0,0,0,0,NA,NA,NA
ocrvqa,majority_vote,low_margin_le_1_8,87,0,0,0,0,NA,NA,NA
ocrvqa,majority_vote,low_margin_le_2_8,172,0,0,0,0,NA,NA,NA
ocrvqa,majority_vote,format_affected,31,0,0,0,0,NA,NA,NA
ocrvqa,majority_vote,length_risk_affected,25,0,0,0,0,NA,NA,NA
chartqa,frequency_only,low_margin_le_1_8,139,37,10,6,4,0.270270,0.162162,-0.108108
chartqa,frequency_only,low_margin_le_2_8,233,37,10,6,4,0.270270,0.162162,-0.108108
chartqa,frequency_only,format_affected,34,2,0,1,-1,0.000000,0.500000,0.500000
chartqa,frequency_only,length_risk_affected,8,1,0,0,0,0.000000,0.000000,0.000000
chartqa,no_format,low_margin_le_1_8,139,0,0,0,0,NA,NA,NA
chartqa,no_format,low_margin_le_2_8,233,0,0,0,0,NA,NA,NA
chartqa,no_format,format_affected,34,0,0,0,0,NA,NA,NA
chartqa,no_format,length_risk_affected,8,0,0,0,0,NA,NA,NA
chartqa,no_base_consistency,low_margin_le_1_8,139,37,8,6,2,0.216216,0.162162,-0.054054
chartqa,no_base_consistency,low_margin_le_2_8,233,38,8,6,2,0.210526,0.157895,-0.052632
chartqa,no_base_consistency,format_affected,34,3,0,0,0,0.000000,0.000000,0.000000
chartqa,no_base_consistency,length_risk_affected,8,1,0,0,0,0.000000,0.000000,0.000000
chartqa,no_length_risk,low_margin_le_1_8,139,0,0,0,0,NA,NA,NA
chartqa,no_length_risk,low_margin_le_2_8,233,0,0,0,0,NA,NA,NA
chartqa,no_length_risk,format_affected,34,0,0,0,0,NA,NA,NA
chartqa,no_length_risk,length_risk_affected,8,0,0,0,0,NA,NA,NA
ocrbench,frequency_only,low_margin_le_1_8,116,41,5,5,0,0.146341,0.146341,0.000000
ocrbench,frequency_only,low_margin_le_2_8,199,42,5,6,-1,0.142857,0.166667,0.023810
ocrbench,frequency_only,format_affected,56,4,1,1,0,0.250000,0.250000,0.000000
ocrbench,frequency_only,length_risk_affected,31,2,0,1,-1,0.000000,0.500000,0.500000
ocrbench,no_format,low_margin_le_1_8,116,0,0,0,0,NA,NA,NA
ocrbench,no_format,low_margin_le_2_8,199,0,0,0,0,NA,NA,NA
ocrbench,no_format,format_affected,56,1,1,0,1,1.000000,0.000000,-1.000000
ocrbench,no_format,length_risk_affected,31,0,0,0,0,NA,NA,NA
ocrbench,no_base_consistency,low_margin_le_1_8,116,33,3,5,-2,0.121212,0.181818,0.060606
ocrbench,no_base_consistency,low_margin_le_2_8,199,34,4,5,-1,0.147059,0.176471,0.029412
ocrbench,no_base_consistency,format_affected,56,6,3,0,3,0.500000,0.000000,-0.500000
ocrbench,no_base_consistency,length_risk_affected,31,4,1,0,1,0.250000,0.000000,-0.250000
ocrbench,no_length_risk,low_margin_le_1_8,116,0,0,0,0,NA,NA,NA
ocrbench,no_length_risk,low_margin_le_2_8,199,0,0,0,0,NA,NA,NA
ocrbench,no_length_risk,format_affected,56,0,0,0,0,NA,NA,NA
ocrbench,no_length_risk,length_risk_affected,31,0,0,0,0,NA,NA,NA
ocrbench,majority_vote,low_margin_le_1_8,116,0,0,0,0,NA,NA,NA
ocrbench,majority_vote,low_margin_le_2_8,199,0,0,0,0,NA,NA,NA
ocrbench,majority_vote,format_affected,56,0,0,0,0,NA,NA,NA
ocrbench,majority_vote,length_risk_affected,31,0,0,0,0,NA,NA,NA
