benchmark,n,setting,w_sup,w_valid,w_base,w_risk,correct_count_proxy,score,full_score,delta_vs_full,changed_count_vs_full,full_wins_proxy,ablation_wins_proxy,net_gain_proxy,proxy_score,full_proxy_score,official_eval_used,official_eval_input,source_xlsx,source_diag
textvqa,1000,full_asca,2.0,1.0,0.4,0.5,733,71.960000,71.960000,0.000000,0,0,0,0,0.733000,0.733000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/textvqa/full_asca/full_asca_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
textvqa,1000,without_consistency_module,0.0,1.0,0.0,0.5,730,71.610000,71.960000,-0.350000,31,8,5,-3,0.730000,0.733000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/textvqa/without_consistency_module/without_consistency_module_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
textvqa,1000,without_answer_space_module,2.0,0.0,0.4,0.0,735,72.090000,71.960000,0.130000,5,0,2,2,0.735000,0.733000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/textvqa/without_answer_space_module/without_answer_space_module_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_textvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_TextVQA_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_textvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrvqa,1000,full_asca,2.0,1.0,0.4,0.5,607,16.200000,16.200000,0.000000,0,0,0,0,0.607000,0.607000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ocrvqa/full_asca/full_asca_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrvqa,1000,without_consistency_module,0.0,1.0,0.0,0.5,606,16.100000,16.200000,-0.100000,15,2,1,-1,0.606000,0.607000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ocrvqa/without_consistency_module/without_consistency_module_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrvqa,1000,without_answer_space_module,2.0,0.0,0.4,0.0,607,16.200000,16.200000,0.000000,0,0,0,0,0.607000,0.607000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ocrvqa/without_answer_space_module/without_answer_space_module_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrvqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrvqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
chartqa,1000,full_asca,2.0,1.0,0.4,0.5,713,76.300000,76.300000,0.000000,0,0,0,0,0.713000,0.713000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/chartqa/full_asca/full_asca_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_chartqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
chartqa,1000,without_consistency_module,0.0,1.0,0.0,0.5,710,76.100000,76.300000,-0.200000,39,9,6,-3,0.710000,0.713000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/chartqa/without_consistency_module/without_consistency_module_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_chartqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
chartqa,1000,without_answer_space_module,2.0,0.0,0.4,0.0,713,76.200000,76.300000,-0.100000,3,0,0,0,0.713000,0.713000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/chartqa/without_answer_space_module/without_answer_space_module_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_chartqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_chartqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrbench,1000,full_asca,2.0,1.0,0.4,0.5,704,72.500000,72.500000,0.000000,0,0,0,0,0.704000,0.704000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ocrbench/full_asca/full_asca_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrbench_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrbench,1000,without_consistency_module,0.0,1.0,0.0,0.5,698,71.300000,72.500000,-1.200000,52,12,6,-6,0.698000,0.704000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ocrbench/without_consistency_module/without_consistency_module_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrbench_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ocrbench,1000,without_answer_space_module,2.0,0.0,0.4,0.0,705,72.400000,72.500000,-0.100000,6,1,2,1,0.705000,0.704000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ocrbench/without_answer_space_module/without_answer_space_module_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ocrbench/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_OCRBench.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ocrbench_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
gqa,1000,full_asca,2.0,1.0,0.4,0.5,407,9.900000,9.900000,0.000000,0,0,0,0,0.407000,0.407000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/gqa/full_asca/full_asca_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_gqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_gqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
gqa,1000,without_consistency_module,0.0,1.0,0.0,0.5,422,12.300000,9.900000,2.400000,86,10,25,15,0.422000,0.407000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/gqa/without_consistency_module/without_consistency_module_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_gqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_gqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
gqa,1000,without_answer_space_module,2.0,0.0,0.4,0.0,408,10.100000,9.900000,0.200000,12,1,2,1,0.408000,0.407000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/gqa/without_answer_space_module/without_answer_space_module_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_gqa/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_gqa_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ai2d,1000,full_asca,2.0,1.0,0.4,0.5,688,0.688000,0.688000,0.000000,0,0,0,0,0.688000,0.688000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ai2d/full_asca/full_asca_AI2D_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ai2d/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_AI2D_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ai2d_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ai2d,1000,without_consistency_module,0.0,1.0,0.0,0.5,687,0.686000,0.688000,-0.002000,5,2,1,-1,0.687000,0.688000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ai2d/without_consistency_module/without_consistency_module_AI2D_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ai2d/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_AI2D_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ai2d_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
ai2d,1000,without_answer_space_module,2.0,0.0,0.4,0.0,688,0.688000,0.688000,0.000000,0,0,0,0,0.688000,0.688000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/ai2d/without_answer_space_module/without_answer_space_module_AI2D_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_ai2d/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_AI2D_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_ai2d_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
mme_rw,1000,full_asca,2.0,1.0,0.4,0.5,315,0.315000,0.315000,0.000000,0,0,0,0,0.315000,0.315000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/mme_rw/full_asca/full_asca_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_mme_rw/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_mme_rw_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
mme_rw,1000,without_consistency_module,0.0,1.0,0.0,0.5,319,0.319000,0.315000,0.004000,51,6,10,4,0.319000,0.315000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/mme_rw/without_consistency_module/without_consistency_module_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_mme_rw/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_mme_rw_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
mme_rw,1000,without_answer_space_module,2.0,0.0,0.4,0.0,315,0.312000,0.315000,-0.003000,15,1,1,0,0.315000,0.315000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/mme_rw/without_answer_space_module/without_answer_space_module_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_mme_rw/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_MME-RealWorld-Lite.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_mme_rw_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
amber,1000,full_asca,2.0,1.0,0.4,0.5,778,75.779817,75.779817,0.000000,0,0,0,0,0.778000,0.778000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/amber/full_asca/full_asca_AMBER.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_amber/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_AMBER.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_amber_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
amber,1000,without_consistency_module,0.0,1.0,0.0,0.5,781,76.330275,75.779817,0.550459,96,18,21,3,0.781000,0.778000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/amber/without_consistency_module/without_consistency_module_AMBER.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_amber/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_AMBER.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_amber_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
amber,1000,without_answer_space_module,2.0,0.0,0.4,0.0,779,75.963303,75.779817,0.183486,24,1,2,1,0.779000,0.778000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/amber/without_answer_space_module/without_answer_space_module_AMBER.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_amber/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_AMBER.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_amber_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
coco,1000,full_asca,2.0,1.0,0.4,0.5,0,13.678287,13.678287,0.000000,0,0,0,0,0.000000,0.000000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/coco/full_asca/full_asca_COCO_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_coco/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_COCO_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_coco_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
coco,1000,without_consistency_module,0.0,1.0,0.0,0.5,0,25.470656,13.678287,11.792369,813,0,0,0,0.000000,0.000000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/coco/without_consistency_module/without_consistency_module_COCO_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_coco/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_COCO_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_coco_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
coco,1000,without_answer_space_module,2.0,0.0,0.4,0.0,0,13.682279,13.678287,0.003992,2,0,0,0,0.000000,0.000000,1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/ablations/groupA_groupB_from_regen_official/official_eval_inputs/coco/without_answer_space_module/without_answer_space_module_COCO_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_smolvlm2_v91_nocf_regen_coco/V91NoCF_SmolVLM2_2B/V91NoCF_SmolVLM2_2B_COCO_VAL.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_nocf_regen_coco_n1000_regenA_20260503_161454/diagnostics/v91nocf_samples.jsonl
