group	subset	stem	job_name	rc	stdout	stderr
table1	1000	test_config_smolvlm2_table1_sample_rank_ocrbench	t1r-sample_rank_ocrbench	0	Submitted batch job 7585704	
table1	1000	test_config_smolvlm2_table1_self_consistency_coco	t1r-self_consistency_coco	0	Submitted batch job 7585705	
table1	1000	test_config_smolvlm2_table1_self_consistency_mme_rw	t1r-self_consistency_mme_rw	0	Submitted batch job 7585706	
table1	1000	test_config_smolvlm2_table1_self_consistency_ocrbench	t1r-self_consistency_ocrbench	0	Submitted batch job 7585707	
table1	1000	test_config_smolvlm2_table1_self_selector_coco	t1r-self_selector_coco	0	Submitted batch job 7585708	
table1	1000	test_config_smolvlm2_table1_self_selector_mme_rw	t1r-self_selector_mme_rw	0	Submitted batch job 7585709	
table1	1000	test_config_smolvlm2_table1_self_selector_ocrbench	t1r-self_selector_ocrbench	0	Submitted batch job 7585710	
table1	1000	test_config_smolvlm2_table1_self_synthesizer_coco	t1r-self_synthesizer_coco	0	Submitted batch job 7585711	
table1	1000	test_config_smolvlm2_table1_self_synthesizer_mme_rw	t1r-self_synthesizer_mme_rw	0	Submitted batch job 7585712	
table1	1000	test_config_smolvlm2_table1_self_synthesizer_ocrbench	t1r-self_synthesizer_ocrbench	0	Submitted batch job 7585713	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_base_only_chartqa	a2r-base_only_chartqa	0	Submitted batch job 7585714	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_base_only_gqa	a2r-base_only_gqa	0	Submitted batch job 7585715	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_base_only_ocrbench	a2r-base_only_ocrbench	0	Submitted batch job 7585716	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_base_only_ocrvqa	a2r-base_only_ocrvqa	0	Submitted batch job 7585717	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_base_only_textvqa	a2r-base_only_textvqa	0	Submitted batch job 7585718	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_first_view_chartqa	a2r-first_view_chartqa	0	Submitted batch job 7585719	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_first_view_gqa	a2r-first_view_gqa	0	Submitted batch job 7585720	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_first_view_ocrbench	a2r-first_view_ocrbench	0	Submitted batch job 7585721	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_first_view_ocrvqa	a2r-first_view_ocrvqa	0	Submitted batch job 7585722	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_first_view_textvqa	a2r-first_view_textvqa	0	Submitted batch job 7585723	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_frequency_only_chartqa	a2r-frequency_only_chartqa	0	Submitted batch job 7585724	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_frequency_only_gqa	a2r-frequency_only_gqa	0	Submitted batch job 7585725	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrbench	a2r-frequency_only_ocrbench	0	Submitted batch job 7585726	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrvqa	a2r-frequency_only_ocrvqa	0	Submitted batch job 7585727	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_frequency_only_textvqa	a2r-frequency_only_textvqa	0	Submitted batch job 7585728	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_majority_vote_chartqa	a2r-majority_vote_chartqa	0	Submitted batch job 7585729	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_majority_vote_gqa	a2r-majority_vote_gqa	0	Submitted batch job 7585730	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrbench	a2r-majority_vote_ocrbench	0	Submitted batch job 7585731	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrvqa	a2r-majority_vote_ocrvqa	0	Submitted batch job 7585732	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_majority_vote_textvqa	a2r-majority_vote_textvqa	0	Submitted batch job 7585733	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_answer_space_chartqa	a2r-no_answer_space_chartqa	0	Submitted batch job 7585734	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_answer_space_gqa	a2r-no_answer_space_gqa	0	Submitted batch job 7585735	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_answer_space_ocrbench	a2r-no_answer_space_ocrbench	0	Submitted batch job 7585747	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_answer_space_ocrvqa	a2r-no_answer_space_ocrvqa	0	Submitted batch job 7585749	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_answer_space_textvqa	a2r-no_answer_space_textvqa	0	Submitted batch job 7585757	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_chartqa	a2r-no_base_bias_chartqa	0	Submitted batch job 7585758	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_gqa	a2r-no_base_bias_gqa	0	Submitted batch job 7585765	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrbench	a2r-no_base_bias_ocrbench	0	Submitted batch job 7585767	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrvqa	a2r-no_base_bias_ocrvqa	0	Submitted batch job 7585775	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_textvqa	a2r-no_base_bias_textvqa	0	Submitted batch job 7585776	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa	a2r-no_format_chartqa	0	Submitted batch job 7585787	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_format_gqa	a2r-no_format_gqa	0	Submitted batch job 7585788	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_format_ocrbench	a2r-no_format_ocrbench	0	Submitted batch job 7585798	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa	a2r-no_format_ocrvqa	0	Submitted batch job 7585799	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa	a2r-no_format_textvqa	0	Submitted batch job 7585811	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_chartqa	a2r-no_length_risk_chartqa	0	Submitted batch job 7585812	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_gqa	a2r-no_length_risk_gqa	0	Submitted batch job 7585826	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrbench	a2r-no_length_risk_ocrbench	0	Submitted batch job 7585831	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrvqa	a2r-no_length_risk_ocrvqa	0	Submitted batch job 7585832	
abl200	200	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_textvqa	a2r-no_length_risk_textvqa	0	Submitted batch job 7585837	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_chartqa	a1r-frequency_only_chartqa	0	Submitted batch job 7585838	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_gqa	a1r-frequency_only_gqa	0	Submitted batch job 7585849	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrbench	a1r-frequency_only_ocrbench	0	Submitted batch job 7585850	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrvqa	a1r-frequency_only_ocrvqa	0	Submitted batch job 7585855	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_frequency_only_textvqa	a1r-frequency_only_textvqa	0	Submitted batch job 7585857	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_chartqa	a1r-majority_vote_chartqa	0	Submitted batch job 7585861	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_gqa	a1r-majority_vote_gqa	0	Submitted batch job 7585862	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrbench	a1r-majority_vote_ocrbench	0	Submitted batch job 7585870	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrvqa	a1r-majority_vote_ocrvqa	0	Submitted batch job 7585871	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_majority_vote_textvqa	a1r-majority_vote_textvqa	0	Submitted batch job 7585878	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_chartqa	a1r-no_base_bias_chartqa	0	Submitted batch job 7585879	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_gqa	a1r-no_base_bias_gqa	0	Submitted batch job 7585885	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrbench	a1r-no_base_bias_ocrbench	0	Submitted batch job 7585886	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrvqa	a1r-no_base_bias_ocrvqa	0	Submitted batch job 7585897	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_textvqa	a1r-no_base_bias_textvqa	0	Submitted batch job 7585898	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa	a1r-no_format_chartqa	0	Submitted batch job 7585917	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_gqa	a1r-no_format_gqa	0	Submitted batch job 7585943	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_ocrbench	a1r-no_format_ocrbench	0	Submitted batch job 7585944	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa	a1r-no_format_ocrvqa	0	Submitted batch job 7585952	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa	a1r-no_format_textvqa	0	Submitted batch job 7585953	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_chartqa	a1r-no_length_risk_chartqa	0	Submitted batch job 7585966	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_gqa	a1r-no_length_risk_gqa	0	Submitted batch job 7585967	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrbench	a1r-no_length_risk_ocrbench	0	Submitted batch job 7585973	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrvqa	a1r-no_length_risk_ocrvqa	0	Submitted batch job 7585974	
abl1k	1000	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_textvqa	a1r-no_length_risk_textvqa	0	Submitted batch job 7585994	
