benchmark,setting_name,changed,default_wins,setting_wins,net
ocrbench,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,0,0,0,0
ocrbench,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,39,6,8,2
ocrbench,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,26,4,7,3
ocrbench,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,3,0,1,1
ocrbench,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,4,1,1,0
ocrbench,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,4,1,1,0
ocrbench,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,4,1,1,0
ocrbench,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,6,1,1,0
ocrbench,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,7,2,1,-1
