backbone,benchmark,n,setting_name,varied_param,param_value,w_sup,w_valid,w_base,w_risk,metric,score,default_score,delta_vs_default,changed_vs_default,default_wins,setting_wins,net_vs_default,missing_diag_samples,diag_path,default_xlsx,setting_output_file
ovis2_2b,ocrvqa,1000,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,w_valid,2.0,2.0,2.0,0.4,0.5,accuracy_proxy,0.691000,0.696000,-0.005000,131,37,32,-5,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_ocrvqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_ocrvqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_OCRVQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/ocrvqa/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/ocrvqa_predictions.csv
ovis2_2b,chartqa,1000,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,default,default,2.0,1.0,0.4,0.5,accuracy_proxy,0.794000,0.777000,0.017000,136,27,44,17,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup2p0_wvalid1p0_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,chartqa,1000,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,w_sup,1.0,1.0,1.0,0.4,0.5,accuracy_proxy,0.754000,0.777000,-0.023000,186,65,42,-23,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup1p0_wvalid1p0_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,chartqa,1000,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,w_sup,1.5,1.5,1.0,0.4,0.5,accuracy_proxy,0.776000,0.777000,-0.001000,156,44,43,-1,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup1p5_wvalid1p0_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,chartqa,1000,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,w_sup,2.5,2.5,1.0,0.4,0.5,accuracy_proxy,0.795000,0.777000,0.018000,135,26,44,18,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup2p5_wvalid1p0_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,chartqa,1000,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,w_sup,3.0,3.0,1.0,0.4,0.5,accuracy_proxy,0.797000,0.777000,0.020000,135,25,45,20,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup3p0_wvalid1p0_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,chartqa,1000,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,w_valid,0.25,2.0,0.25,0.4,0.5,accuracy_proxy,0.795000,0.777000,0.018000,134,26,44,18,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup2p0_wvalid0p25_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,chartqa,1000,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,w_valid,0.5,2.0,0.5,0.4,0.5,accuracy_proxy,0.795000,0.777000,0.018000,135,26,44,18,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,chartqa,1000,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,w_valid,1.5,2.0,1.5,0.4,0.5,accuracy_proxy,0.790000,0.777000,0.013000,139,31,44,13,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup2p0_wvalid1p5_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,chartqa,1000,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,w_valid,2.0,2.0,2.0,0.4,0.5,accuracy_proxy,0.788000,0.777000,0.011000,141,33,44,11,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_chartqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_chartqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_ChartQA_TEST.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/chartqa/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/chartqa_predictions.csv
ovis2_2b,gqa,1000,wsup2p0_wvalid1p0_wbase0p4_wrisk0p5,default,default,2.0,1.0,0.4,0.5,accuracy_proxy,0.579000,0.597000,-0.018000,141,52,34,-18,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup2p0_wvalid1p0_wbase0p4_wrisk0p5/gqa_predictions.csv
ovis2_2b,gqa,1000,wsup1p0_wvalid1p0_wbase0p4_wrisk0p5,w_sup,1.0,1.0,1.0,0.4,0.5,accuracy_proxy,0.571000,0.597000,-0.026000,190,66,40,-26,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup1p0_wvalid1p0_wbase0p4_wrisk0p5/gqa_predictions.csv
ovis2_2b,gqa,1000,wsup1p5_wvalid1p0_wbase0p4_wrisk0p5,w_sup,1.5,1.5,1.0,0.4,0.5,accuracy_proxy,0.573000,0.597000,-0.024000,182,64,40,-24,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup1p5_wvalid1p0_wbase0p4_wrisk0p5/gqa_predictions.csv
ovis2_2b,gqa,1000,wsup2p5_wvalid1p0_wbase0p4_wrisk0p5,w_sup,2.5,2.5,1.0,0.4,0.5,accuracy_proxy,0.579000,0.597000,-0.018000,141,52,34,-18,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup2p5_wvalid1p0_wbase0p4_wrisk0p5/gqa_predictions.csv
ovis2_2b,gqa,1000,wsup3p0_wvalid1p0_wbase0p4_wrisk0p5,w_sup,3.0,3.0,1.0,0.4,0.5,accuracy_proxy,0.583000,0.597000,-0.014000,137,48,34,-14,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup3p0_wvalid1p0_wbase0p4_wrisk0p5/gqa_predictions.csv
ovis2_2b,gqa,1000,wsup2p0_wvalid0p25_wbase0p4_wrisk0p5,w_valid,0.25,2.0,0.25,0.4,0.5,accuracy_proxy,0.585000,0.597000,-0.012000,136,46,34,-12,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup2p0_wvalid0p25_wbase0p4_wrisk0p5/gqa_predictions.csv
ovis2_2b,gqa,1000,wsup2p0_wvalid0p5_wbase0p4_wrisk0p5,w_valid,0.5,2.0,0.5,0.4,0.5,accuracy_proxy,0.583000,0.597000,-0.014000,137,48,34,-14,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup2p0_wvalid0p5_wbase0p4_wrisk0p5/gqa_predictions.csv
ovis2_2b,gqa,1000,wsup2p0_wvalid1p5_wbase0p4_wrisk0p5,w_valid,1.5,2.0,1.5,0.4,0.5,accuracy_proxy,0.578000,0.597000,-0.019000,142,53,34,-19,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup2p0_wvalid1p5_wbase0p4_wrisk0p5/gqa_predictions.csv
ovis2_2b,gqa,1000,wsup2p0_wvalid2p0_wbase0p4_wrisk0p5,w_valid,2.0,2.0,2.0,0.4,0.5,accuracy_proxy,0.578000,0.597000,-0.019000,142,53,34,-19,0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_ovis2_2b_asca_gqa_n1000/diagnostics/asca_samples.jsonl,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/test_config_ovis2_2b_asca_gqa/ASCA_Ovis2_2B/T20260504_G8433322c/ASCA_Ovis2_2B_GQA_TestDev_Balanced.xlsx,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/paper_neurips2026_artifacts/sensitivity_asca_weights_ovis2_n1000/gqa/wsup2p0_wvalid2p0_wbase0p4_wrisk0p5/gqa_predictions.csv
